,Date,VUSTX,VUSTX Div,VTSMX,VTSMX Div,VPACX,VPACX Div,VEIEX,VEIEX Div,VEURX,VEURX Div,Enter 1,Shares 1,Enter 2,Shares 2,Enter 3,Shares 3,Capital
4588,2013-12-19,11.02,0.0,45.580002,0.22699999999999998,11.28,0.146,25.5,0.126,30.34,0.11599999999999999,VTSMX,488.5223370028725,VEURX,711.73352489298,VUSTX,1827.9134508360846,64004.450471102275
4589,2013-12-20,11.17,0.0,45.889998999999996,0.0,11.38,0.0,25.450001,0.0,30.48,0.0,VTSMX,488.5223370028725,VEURX,711.73352489298,VUSTX,1827.9134508360846,64529.720641116575
4590,2013-12-23,11.11,0.0,46.16,0.0,11.46,0.0,25.549999,0.0,30.77,0.0,VTSMX,488.5223370028725,VEURX,711.73352489298,VUSTX,1827.9134508360846,64758.35007579849
4591,2013-12-24,11.02,0.0,46.310001,0.0,11.39,0.0,25.639999,0.0,30.83,0.0,VTSMX,488.5223370028725,VEURX,711.73352489298,VUSTX,1827.9134508360846,64709.82071578958
4592,2013-12-26,10.98,0.0,46.5,0.0,11.48,0.0,25.15,0.0,31.0,0.0,VTSMX,488.5223370028725,VEURX,711.73352489298,VUSTX,1827.9134508360846,64850.517632496165
4593,2013-12-27,10.95,0.0,46.48,0.0,11.52,0.0,25.67,0.0,31.280001000000002,0.0,VTSMX,488.5223370028725,VEURX,711.73352489298,VUSTX,1827.9134508360846,64985.19588093458
4594,2013-12-30,11.02,0.0,46.490002000000004,0.0,11.6,0.0,25.809998999999998,0.0,31.370001000000002,0.0,VTSMX,488.5223370028725,VEURX,711.73352489298,VUSTX,1827.9134508360846,65182.092040148185
4595,2013-12-31,10.9,0.032,46.669998,0.0,11.61,0.0,25.860001,0.0,31.440001000000002,0.0,VEURX,690.8289545939506,VTSMX,465.38812843451933,VPACX,1870.7720088942947,65158.98906978828
4596,2014-01-02,10.99,0.0,46.259997999999996,0.0,11.47,0.0,25.43,0.0,30.879998999999998,0.0,VEURX,690.8289545939506,VTSMX,465.38812843451933,VPACX,1870.7720088942947,64319.40625965441
4597,2014-01-03,10.98,0.0,46.279999,0.0,11.48,0.0,25.26,0.0,30.889999,0.0,VEURX,690.8289545939506,VTSMX,465.38812843451933,VPACX,1870.7720088942947,64354.330497246105
4598,2014-01-06,11.02,0.0,46.130001,0.0,11.46,0.0,25.049999,0.0,30.940001000000002,0.0,VEURX,690.8289545939506,VTSMX,465.38812843451933,VPACX,1870.7720088942947,64281.65059796692
4599,2014-01-07,11.05,0.0,46.439999,0.0,11.48,0.0,25.08,0.0,31.120001000000002,0.0,VEURX,690.8289545939506,VTSMX,465.38812843451933,VPACX,1870.7720088942947,64587.68463901015
4600,2014-01-08,11.02,0.0,46.459998999999996,0.0,11.49,0.0,25.02,0.0,31.1,0.0,VEURX,690.8289545939506,VTSMX,465.38812843451933,VPACX,1870.7720088942947,64601.88285174695
4601,2014-01-09,11.07,0.0,46.48,0.0,11.47,0.0,24.85,0.0,31.1,0.0,VEURX,690.8289545939506,VTSMX,465.38812843451933,VPACX,1870.7720088942947,64573.77563952588
4602,2014-01-10,11.2,0.0,46.630001,0.0,11.51,0.0,25.08,0.0,31.379998999999998,0.0,VEURX,690.8289545939506,VTSMX,465.38812843451933,VPACX,1870.7720088942947,64911.84662099231
4603,2014-01-13,11.25,0.0,46.029999,0.0,11.46,0.0,25.030001000000002,0.0,31.200001,0.0,VEURX,690.8289545939506,VTSMX,465.38812843451933,VPACX,1870.7720088942947,64414.72638254163
4604,2014-01-14,11.19,0.0,46.560001,0.0,11.45,0.0,25.26,0.0,31.5,0.0,VEURX,690.8289545939506,VTSMX,465.38812843451933,VPACX,1870.7720088942947,64849.92329684846
4605,2014-01-15,11.18,0.0,46.799999,0.0,11.48,0.0,25.280001000000002,0.0,31.65,0.0,VEURX,690.8289545939506,VTSMX,465.38812843451933,VPACX,1870.7720088942947,65121.363020352415
4606,2014-01-16,11.25,0.0,46.759997999999996,0.0,11.45,0.0,25.190001000000002,0.0,31.66,0.0,VEURX,690.8289545939506,VTSMX,465.38812843451933,VPACX,1870.7720088942947,65053.532159106006
4607,2014-01-17,11.29,0.0,46.580002,0.0,11.45,0.0,25.059998999999998,0.0,31.48,0.0,VEURX,690.8289545939506,VTSMX,465.38812843451933,VPACX,1870.7720088942947,64845.414945713404
