,Date,VUSTX,VUSTX Div,VEIEX,VEIEX Div,VEURX,VEURX Div,VTSMX,VTSMX Div,VPACX,VPACX Div,Enter 1,Shares 1,Capital
1230,2000-08-14,10.43,0.0,11.05,0.0,27.639999,0.0,33.48,0.0,10.61,0.0,VTSMX,539.5791930181223,18065.111382246734
1231,2000-08-15,10.41,0.0,11.02,0.0,27.860001,0.0,33.330002,0.0,10.71,0.0,VTSMX,539.5791930181223,17984.1755824524
1232,2000-08-16,10.39,0.0,11.06,0.0,27.940001000000002,0.0,33.27,0.0,10.76,0.0,VTSMX,539.5791930181223,17951.79975171293
1233,2000-08-17,10.41,0.0,11.09,0.0,27.870001000000002,0.0,33.650002,0.0,10.67,0.0,VTSMX,539.5791930181223,18156.840924218202
1234,2000-08-18,10.44,0.0,10.93,0.0,27.709999,0.0,33.57,0.0,10.73,0.0,VTSMX,539.5791930181223,18113.673509618366
1235,2000-08-21,10.42,0.0,10.85,0.0,27.58,0.0,33.720001,0.0,10.65,0.0,VTSMX,539.5791930181223,18194.61092815028
1236,2000-08-22,10.43,0.0,10.93,0.0,27.459999,0.0,33.720001,0.0,10.8,0.0,VTSMX,539.5791930181223,18194.61092815028
1237,2000-08-23,10.46,0.0,10.89,0.0,27.32,0.0,33.91,0.0,10.93,0.0,VTSMX,539.5791930181223,18297.130435244526
1238,2000-08-24,10.48,0.0,10.88,0.0,27.43,0.0,34.029999,0.0,10.98,0.0,VTSMX,539.5791930181223,18361.879398827507
1239,2000-08-25,10.48,0.0,10.92,0.0,27.59,0.0,34.02,0.0,11.1,0.0,VTSMX,539.5791930181223,18356.484146476523
1240,2000-08-28,10.42,0.0,10.91,0.0,27.540001,0.0,34.18,0.0,11.2,0.0,VTSMX,539.5791930181223,18442.81681735942
1241,2000-08-29,10.39,0.0,10.94,0.0,27.35,0.0,34.150002,0.0,11.2,0.0,VTSMX,539.5791930181223,18426.630520727264
1242,2000-08-30,10.41,0.0,10.95,0.0,27.23,0.0,34.099998,0.0,11.03,0.0,VTSMX,539.5791930181223,18399.649402759584
1243,2000-08-31,10.46,0.054000000000000006,10.93,0.0,27.26,0.0,34.48,0.0,10.97,0.0,VTSMX,539.5791930181223,18604.690575264856
1244,2000-09-01,10.5,0.0,11.02,0.0,28.02,0.0,34.599998,0.0,11.09,0.0,VTSMX,539.5791930181223,18669.438999268645
1245,2000-09-05,10.49,0.0,11.01,0.0,27.67,0.0,34.290001000000004,0.0,10.93,0.0,VTSMX,539.5791930181223,18502.171068170606
1246,2000-09-06,10.44,0.0,10.97,0.0,27.299999,0.0,33.919998,0.0,10.83,0.0,VTSMX,539.5791930181223,18302.52514801632
1247,2000-09-07,10.43,0.0,10.9,0.0,27.120001000000002,0.0,34.189999,0.0,10.85,0.0,VTSMX,539.5791930181223,18448.212069710407
1248,2000-09-08,10.45,0.0,10.87,0.0,26.59,0.0,33.939999,0.0,10.87,0.0,VTSMX,539.5791930181223,18313.31727145588
1249,2000-09-11,10.41,0.0,10.74,0.0,26.43,0.0,33.810001,0.0,10.69,0.0,VTSMX,539.5791930181223,18243.173055521907
1250,2000-09-12,10.4,0.0,10.61,0.0,26.290001,0.0,33.669998,0.0,10.55,0.0,VTSMX,539.5791930181223,18167.630349761792
1251,2000-09-13,10.43,0.0,10.65,0.0,26.120001000000002,0.0,33.759997999999996,0.0,10.6,0.0,VTSMX,539.5791930181223,18216.19247713342
